PolygonID,LCID,HydroSG,CN,Acres,PCT_Area,CCN,CatchmentID
297,22,,,0.2223948,0.0000938,,
298,23,,,0.6487073,0.0002735,,
299,23,D,84,0.870647,0.0003671,0.0308344,
300,24,,,0.0604812,0.0000255,,
301,24,D,,6.8557215,0.0028905,,
302,24,D,,0.4447897,0.0001875,,
303,22,A,49,0.1335675,0.0000563,0.0027594,
304,22,B,69,0.0089042,0.0000038,0.000259,
305,41,A,36,0.152725,0.0000644,0.0023181,
306,41,B,60,0.9622151,0.0004057,0.024341,
307,41,B,60,0.0310122,0.0000131,0.0007845,
308,41,D,79,0.1884167,0.0000794,0.0062757,
309,41,B,60,0.0000817,0,0.0000021,
310,41,C,73,0.1521054,0.0000641,0.0046815,
311,41,D,79,0.0116467,0.0000049,0.0003879,
312,41,B,60,0.0876219,0.0000369,0.0022166,
313,23,,,0.0037632,0.0000016,,
314,23,D,84,0.3065363,0.0001292,0.0108561,
315,41,B,60,0.5460774,0.0002302,0.013814,
316,41,C,73,0.3698353,0.0001559,0.0113827,
317,22,D,84,4.1267567,0.0017399,0.1461513,
318,23,A,49,0.8895794,0.0003751,0.0183779,
319,22,A,49,0.4161426,0.0001755,0.0085971,
320,22,B,69,0.0286471,0.0000121,0.0008334,
321,41,B,60,0.4198898,0.000177,0.0106219,
322,41,B,60,0.1834341,0.0000773,0.0046403,
323,41,D,79,0.0638607,0.0000269,0.002127,
324,22,B,69,0.0711156,0.00003,0.0020688,
325,22,D,84,0.1512792,0.0000638,0.0053576,
326,21,D,84,0.306848,0.0001294,0.0108672,
327,21,B,69,0.7551096,0.0003184,0.0219671,
328,41,D,79,0.8633946,0.000364,0.0287575,
329,41,B,60,0.1289663,0.0000544,0.0032624,
330,23,D,84,0.3430715,0.0001446,0.0121501,
331,21,D,84,0.0202216,0.0000085,0.0007162,
332,24,D,,0.6850926,0.0002888,,
333,41,B,60,0.0660263,0.0000278,0.0016703,
334,41,C,73,0.0861608,0.0000363,0.0026518,
335,41,B,60,0.0817387,0.0000345,0.0020677,
336,41,D,79,0.1406561,0.0000593,0.0046849,
337,23,D,84,0.2223948,0.0000938,0.0078762,
338,24,D,,0.1424717,0.0000601,,
339,23,B,69,0.0815835,0.0000344,0.0023734,
340,23,B,69,0.0037281,0.0000016,0.0001085,
341,23,D,84,0.1370832,0.0000578,0.0048549,
342,21,,,0.1424174,0.00006,,
343,22,B,69,0.0703376,0.0000297,0.0020462,
344,22,D,84,0.1520573,0.0000641,0.0053852,
345,41,B,60,0.2132356,0.0000899,0.0053942,
346,41,D,79,0.0091592,0.0000039,0.0003051,
347,22,,,0.2223948,0.0000938,,
348,22,,,2.1951773,0.0009255,,
349,22,D,84,8.841073,0.0037275,0.3131112,
350,23,D,84,9.3012581,0.0039215,0.329409,
351,23,B,69,0.0741985,0.0000313,0.0021585,
352,23,D,84,0.5165378,0.0002178,0.0182935,
353,24,D,,1.474669,0.0006217,,
354,23,B,69,0.0559963,0.0000236,0.001629,
355,23,B,69,0.0761111,0.0000321,0.0022142,
356,23,D,84,0.5146262,0.000217,0.0182258,
357,22,A,49,0.1235237,0.0000521,0.0025519,
358,23,C,79,0.5216567,0.0002199,0.0173751,
359,23,D,84,0.0115861,0.0000049,0.0004103,
360,23,D,84,1.1003882,0.0004639,0.0389708,
361,22,B,69,0.1332901,0.0000562,0.0038776,
362,22,,,0.018897,0.000008,,
363,22,B,69,0.0800631,0.0000338,0.0023291,
364,22,,,4.9302711,0.0020787,,
365,21,,,6.2074656,0.0026172,,
366,22,,,0.2223948,0.0000938,,
367,22,D,84,0.5907363,0.0002491,0.0209212,
368,23,B,69,0.00793,0.0000033,0.0002307,
369,23,D,84,0.4368597,0.0001842,0.0154716,
370,41,B,60,0.1989168,0.0000839,0.005032,
371,41,B,60,1.3647623,0.0005754,0.0345241,
372,41,A,36,0.2380886,0.0001004,0.0036137,
373,21,B,69,0.0864779,0.0000365,0.0025158,
374,21,B,69,0.0211252,0.0000089,0.0006146,
375,21,D,84,0.7259852,0.0003061,0.0257112,
376,52,C,73,0.2394908,0.000101,0.007371,
377,52,C,73,0.797901,0.0003364,0.0245576,
378,52,D,79,0.1458182,0.0000615,0.0048568,
379,24,D,,0.780228,0.000329,,
380,22,,,0.1134721,0.0000478,,
381,22,D,84,0.0289995,0.0000122,0.001027,
382,22,B,69,0.3549034,0.0001496,0.0103246,
383,22,D,84,0.8189407,0.0003453,0.0290032,
384,21,C,79,0.1449633,0.0000611,0.0048284,
385,21,A,49,1.2232214,0.0005157,0.0252706,
386,21,B,69,0.4782665,0.0002016,0.0139134,
387,21,D,84,0.0447306,0.0000189,0.0015842,
388,41,A,36,0.495706,0.000209,0.0075239,
389,41,C,73,0.0261083,0.000011,0.0008036,
390,22,B,69,0.1395149,0.0000588,0.0040587,
391,22,D,84,0.0029025,0.0000012,0.0001028,
392,41,D,79,0.2223948,0.0000938,0.0074074,
393,22,D,84,0.4649334,0.000196,0.0164659,
394,41,C,73,0.5684736,0.0002397,0.0174964,
395,41,C,73,2.3987663,0.0010114,0.0738287,
396,22,C,79,0.5377978,0.0002267,0.0179127,
397,23,A,49,0.0365711,0.0000154,0.0007555,
398,23,D,84,0.2737827,0.0001154,0.0096962,
399,22,D,84,0.4447897,0.0001875,0.0157525,
400,21,B,69,0.3312904,0.0001397,0.0096377,
401,21,B,69,0.0947711,0.00004,0.002757,
402,21,D,84,0.4635178,0.0001954,0.0164157,
403,21,A,49,1.4733384,0.0006212,0.0304378,
404,24,B,,0.0071923,0.000003,,
405,24,D,,1.8734993,0.0007899,,
406,23,B,69,0.3386537,0.0001428,0.0098519,
407,23,D,84,0.4493929,0.0001895,0.0159155,
408,22,B,69,0.1569698,0.0000662,0.0045665,
409,22,D,84,0.4337665,0.0001829,0.0153621,
410,23,B,69,0.0368272,0.0000155,0.0010714,
411,23,B,69,0.0652934,0.0000275,0.0018995,
412,23,D,84,8.7434149,0.0036863,0.3096527,
413,21,B,69,0.4377948,0.0001846,0.012736,
414,21,A,49,0.0069948,0.0000029,0.0001445,
415,22,D,84,0.2223948,0.0000938,0.0078762,
416,43,C,73,0.7329988,0.000309,0.0225601,
417,21,C,79,0.0198166,0.0000084,0.00066,
418,21,C,79,1.913385,0.0008067,0.06373,
419,21,C,79,2.3198605,0.0009781,0.0772687,
420,21,D,84,0.0179599,0.0000076,0.0006361,
421,21,C,79,0.1521871,0.0000642,0.005069,
422,21,,,3.2812774,0.0013834,,
423,21,D,84,1.6514823,0.0006963,0.0584881,
424,23,A,49,0.0479845,0.0000202,0.0009913,
425,23,B,69,0.046803,0.0000197,0.0013616,
426,23,D,84,0.0476299,0.0000201,0.0016868,
427,52,B,60,0.2154292,0.0000908,0.0054497,
428,52,B,60,0.3403613,0.0001435,0.0086101,
429,52,A,36,0.3337888,0.0001407,0.0050663,
430,22,B,69,0.1415955,0.0000597,0.0041192,
431,22,D,84,0.0008219,0.0000003,0.0000291,
432,23,B,69,0.0150063,0.0000063,0.0004366,
433,23,D,84,0.7732303,0.000326,0.0273844,
434,21,B,69,0.051207,0.0000216,0.0014897,
435,21,B,69,0.2401579,0.0001013,0.0069865,
436,21,D,84,0.1534248,0.0000647,0.0054336,
437,23,C,79,0.2035639,0.0000858,0.0067802,
438,23,C,79,1.1861418,0.0005001,0.0395074,
439,21,C,79,0.1210442,0.000051,0.0040317,
440,21,D,84,0.0213731,0.000009,0.0007569,
441,21,A,49,1.5543725,0.0006553,0.0321119,
442,22,A,49,0.8615714,0.0003633,0.0177993,
443,52,A,36,0.2223948,0.0000938,0.0033755,
444,41,B,60,0.016049,0.0000068,0.000406,
445,41,A,36,0.2063459,0.000087,0.0031319,
446,42,A,36,1.2707926,0.0005358,0.0192882,
447,42,A,36,0.2160305,0.0000911,0.0032789,
448,22,C,79,0.0127064,0.0000054,0.0004232,
449,22,C,79,0.1115409,0.000047,0.0037151,
450,22,C,79,0.1108539,0.0000467,0.0036923,
451,21,C,79,1.5368119,0.0006479,0.0511873,
452,22,C,79,4.1815,0.001763,0.1392751,
453,22,C,79,1.4966234,0.000631,0.0498487,
454,22,D,84,1.0920858,0.0004604,0.0386768,
455,23,C,79,3.0869021,0.0013015,0.1028169,
456,23,B,69,0.898687,0.0003789,0.026144,
457,23,,,8.917881,0.0037599,,
458,23,C,79,2.0965836,0.0008839,0.0698319,
459,23,C,79,0.9963485,0.0004201,0.0331858,
460,23,B,69,0.2005866,0.0000846,0.0058353,
461,23,D,84,0.9126935,0.0003848,0.0323235,
462,23,D,84,18.7672081,0.0079125,0.6646506,
463,23,D,84,0.0537388,0.0000227,0.0019032,
464,21,C,79,0.0421374,0.0000178,0.0014035,
465,21,B,69,0.5485989,0.0002313,0.0159595,
466,41,A,36,0.2393141,0.0001009,0.0036323,
467,21,A,49,0.087713,0.000037,0.0018121,
468,22,C,79,0.8512753,0.0003589,0.0283538,
469,22,C,79,0.0418926,0.0000177,0.0013953,
470,23,,,0.1521871,0.0000642,,
471,21,A,49,0.2189298,0.0000923,0.0045229,
472,21,B,69,0.003465,0.0000015,0.0001008,
473,22,A,49,0.4103083,0.000173,0.0084766,
474,22,A,49,0.0051072,0.0000022,0.0001055,
475,22,C,79,1.5112125,0.0006371,0.0503347,
476,22,B,69,0.0143297,0.000006,0.0004169,
477,22,A,49,1.0151694,0.000428,0.0209724,
478,21,B,69,0.0576388,0.0000243,0.0016768,
479,21,A,49,1.5291505,0.0006447,0.0315908,
480,21,A,49,0.2223948,0.0000938,0.0045945,
481,21,B,69,0.2223948,0.0000938,0.0064698,
482,43,B,60,1.071041,0.0004516,0.0270939,
483,43,A,36,0.1984955,0.0000837,0.0030128,
484,21,C,79,0.1146025,0.0000483,0.0038171,
485,21,C,79,0.1077923,0.0000454,0.0035903,
486,41,C,73,0.2688818,0.0001134,0.0082756,
487,41,C,73,0.4810806,0.0002028,0.0148066,
488,41,C,73,0.2010171,0.0000848,0.0061869,
489,41,C,73,1.4142113,0.0005963,0.0435263,
490,41,D,79,1.5876851,0.0006694,0.0528818,
491,22,B,69,0.1424717,0.0000601,0.0041447,
492,43,A,36,0.1857145,0.0000783,0.0028188,
493,43,A,36,0.824917,0.0003478,0.0125207,
494,22,B,69,0.1923786,0.0000811,0.0055965,
495,22,B,69,0.708963,0.0002989,0.0206247,
496,22,A,49,2.1891758,0.000923,0.0452263,
497,22,B,69,2.6913025,0.0011347,0.0782936,
498,22,B,69,1.2749192,0.0005375,0.0370891,
499,22,D,84,6.4960999,0.0027388,0.2300628,
500,22,B,69,1.825218,0.0007695,0.053098,
501,22,C,79,0.2494056,0.0001052,0.0083071,
502,21,C,79,0.0583214,0.0000246,0.0019425,
503,21,B,69,0.0016428,0.0000007,0.0000478,
504,21,B,69,0.3848255,0.0001622,0.0111951,
505,41,C,73,0.0268202,0.0000113,0.0008255,
506,41,C,73,0.101226,0.0000427,0.0031155,
507,41,C,73,0.0241409,0.0000102,0.000743,
508,24,C,,0.5691595,0.00024,,
509,24,D,,0.163064,0.0000687,,
510,22,C,79,0.0098692,0.0000042,0.0003287,
511,22,A,49,19.5651283,0.0082489,0.4041971,
512,22,B,69,0.3745397,0.0001579,0.0108959,
513,22,B,69,0.2000815,0.0000844,0.0058206,
514,22,D,84,1.9845772,0.0008367,0.0702848,
515,22,C,79,0.0016652,0.0000007,0.0000555,
516,41,B,60,0.1728378,0.0000729,0.0043722,
517,41,A,36,0.2719519,0.0001147,0.0041277,
518,41,C,73,0.1967742,0.000083,0.0060563,
519,41,B,60,0.0075218,0.0000032,0.0001903,
520,41,A,36,0.2404937,0.0001014,0.0036502,
521,22,C,79,0.2192417,0.0000924,0.0073024,
522,22,B,69,0.0724,0.0000305,0.0021062,
523,22,A,49,0.041344,0.0000174,0.0008541,
524,22,B,69,0.111804,0.0000471,0.0032525,
525,21,C,79,0.1581423,0.0000667,0.0052673,
526,21,A,49,2.4391031,0.0010284,0.0503896,
527,21,B,69,0.3786426,0.0001596,0.0110152,
528,21,B,69,0.2353648,0.0000992,0.0068471,
529,21,A,49,0.4853817,0.0002046,0.0100275,
530,21,A,49,0.1931573,0.0000814,0.0039904,
531,41,C,73,0.0040721,0.0000017,0.0001253,
532,41,A,36,0.0150739,0.0000064,0.0002288,
533,41,B,60,0.2032488,0.0000857,0.0051415,
534,41,C,73,0.6954086,0.0002932,0.0214031,
535,41,B,60,0.735275,0.00031,0.0186001,
536,41,B,60,0.5718161,0.0002411,0.0144651,
537,41,B,60,0.3526812,0.0001487,0.0089217,
538,22,C,79,0.0004254,0.0000002,0.0000142,
539,22,D,84,0.141992,0.0000599,0.0050287,
540,23,C,79,0.3988953,0.0001682,0.0132862,
541,23,A,49,2.0398288,0.00086,0.0421409,
542,23,B,69,1.0027343,0.0004228,0.0291709,
543,23,,,0.3919107,0.0001652,,
544,23,A,49,0.2223948,0.0000938,0.0045945,
545,22,B,69,0.0827834,0.0000349,0.0024083,
