OBJECTID,Join_Count,TARGET_FID,JOIN_FID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,CN,Land_Cover,Acres,Percent_Area,compositeCN,Id_1,gridcode_1,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
41,1,41,4,21,509370,41,210,MD027,6,GgB,792989,B,60,Deciduous Forest,0.9004576,0.0003796,0.0227787,4,4,2334.942669772015961,158029.114002325659385,339.233622506738811,3644.022436874375671
42,1,42,2,22,509569,41,5,MD027,6,BaA,792298,D,79,Deciduous Forest,0.1899640,0.0000801,0.0063272,2,1,2184.823690626288681,218008.217427300143754,121.632047283846362,768.756864576079693
43,1,43,2,22,509569,41,184,MD027,6,GhB,792997,B,60,Deciduous Forest,0.2548257,0.0001074,0.0064463,2,1,2184.823690626288681,218008.217427300143754,136.751876577186806,1031.243135395980516
44,1,44,2,23,509789,22,184,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.9703802,0.0004091,0.0282297,2,1,2184.823690626288681,218008.217427300143754,300.000028515335771,3926.989536720781416
45,1,45,2,24,509790,21,5,MD027,6,BaA,792298,D,84,"Developed, Open Space",0.0388989,0.0000164,0.0013776,2,1,2184.823690626288681,218008.217427300143754,67.952484741952858,157.418118117638528
46,1,46,2,24,509790,21,184,MD027,6,GhB,792997,B,69,"Developed, Open Space",0.1834960,0.0000774,0.0053381,2,1,2184.823690626288681,218008.217427300143754,109.888229591917835,742.581881826482118
47,1,47,3,25,509791,22,146,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.6034104,0.0002544,0.0175540,3,5,1989.681620013967859,198287.644651192909805,281.477906574667031,2441.915440726968427
48,1,48,2,26,509949,41,5,MD027,6,BaA,792298,D,79,Deciduous Forest,0.5349762,0.0002256,0.0178187,2,1,2184.823690626288681,218008.217427300143754,198.014264638550316,2164.971949631199550
49,1,49,2,26,509949,41,184,MD027,6,GhB,792997,B,60,Deciduous Forest,0.0557601,0.0000235,0.0014106,2,1,2184.823690626288681,218008.217427300143754,86.194840792494418,225.653050443233610
50,1,50,3,27,509950,23,146,MD027,6,GgB,792989,B,69,"Developed, Medium Intensity",0.2223948,0.0000938,0.0064698,3,5,1989.681620013967859,198287.644651192909805,120.000000000000000,900.000000000000000
51,1,51,3,28,509951,23,146,MD027,6,GgB,792989,B,69,"Developed, Medium Intensity",0.0392758,0.0000166,0.0011426,3,5,1989.681620013967859,198287.644651192909805,76.474529464026460,158.943525314742658
52,1,52,2,29,510160,22,184,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.2092331,0.0000882,0.0060869,2,1,2184.823690626288681,218008.217427300143754,120.000021128932644,846.736504206149903
53,1,53,2,30,510161,52,5,MD027,6,BaA,792298,D,79,Shrub/Scrub,0.2221999,0.0000937,0.0074009,2,1,2184.823690626288681,218008.217427300143754,119.264674908142865,899.211267658958604
54,1,54,2,30,510161,52,184,MD027,6,GhB,792997,B,60,Shrub/Scrub,0.0001949,0.0000001,0.0000049,2,1,2184.823690626288681,218008.217427300143754,4.290522350591011,0.788732173403269
55,1,55,4,31,510162,22,48,MD027,6,GnB,793003,C,79,"Developed, Low Intensity",0.0000014,0.0000000,0.0000000,4,4,2334.942669772015961,158029.114002325659385,0.352955324171878,0.005796144404577
56,1,56,4,31,510162,22,84,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.1723340,0.0000727,0.0050134,4,4,2334.942669772015961,158029.114002325659385,109.349234630652461,697.410965235218555
57,1,57,4,31,510162,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.0500594,0.0000211,,4,4,2334.942669772015961,158029.114002325659385,76.264119249051404,202.583238536557872
58,1,58,3,32,510163,23,146,MD027,6,GgB,792989,B,69,"Developed, Medium Intensity",0.1424717,0.0000601,0.0041447,3,5,1989.681620013967859,198287.644651192909805,112.521304067621202,576.562499970314093
59,1,59,3,33,510164,22,146,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.9119404,0.0003845,0.0265296,3,5,1989.681620013967859,198287.644651192909805,315.616042765463931,3690.491787945629767
60,1,60,2,34,510342,21,184,MD027,6,GhB,792997,B,69,"Developed, Open Space",0.1424174,0.0000600,0.0041431,2,1,2184.823690626288681,218008.217427300143754,112.494012446368799,576.342773457595285
61,1,61,2,35,510343,43,5,MD027,6,BaA,792298,D,79,Mixed Forest,0.0932205,0.0000393,0.0031049,2,1,2184.823690626288681,218008.217427300143754,91.375269305015308,377.249872283319689
62,1,62,2,35,510343,43,184,MD027,6,GhB,792997,B,60,Mixed Forest,0.1291744,0.0000545,0.0032677,2,1,2184.823690626288681,218008.217427300143754,104.546472620273320,522.750127772559608
63,1,63,2,36,510518,23,184,MD027,6,GhB,792997,B,69,"Developed, Medium Intensity",3.1899760,0.0013449,0.0928006,2,1,2184.823690626288681,218008.217427300143754,569.303949009804342,12909.374999906794983
64,1,64,2,37,510519,22,184,MD027,6,GhB,792997,B,69,"Developed, Low Intensity",0.2584471,0.0001090,0.0075186,2,1,2184.823690626288681,218008.217427300143754,172.643520945620224,1045.898437045434548
65,1,65,1,38,510520,22,124,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.2262706,0.0000954,0.0065825,1,2,2303.527388806086037,117621.618306059812312,276.933986885983302,915.684550412845738
66,1,66,1,38,510520,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",5.0579224,0.0021325,,1,2,2303.527388806086037,117621.618306059812312,1021.214079053574665,20468.684727017316618
67,1,67,4,39,510521,23,84,MD027,6,MaC,793433,B,69,"Developed, Medium Intensity",0.0812986,0.0000343,0.0023651,4,4,2334.942669772015961,158029.114002325659385,83.984477109234803,329.003819119061518
68,1,68,5,39,510521,23,124,MD027,6,MaC,793433,B,69,"Developed, Medium Intensity",0.0159866,0.0000067,0.0004651,5,3,1917.034390472651694,144369.510105487192050,44.171190079313092,64.695572949067653
69,1,69,4,39,510521,23,177,MD027,6,UaF,628165,,,"Developed, Medium Intensity",0.7922941,0.0003340,,4,4,2334.942669772015961,158029.114002325659385,274.258679526828587,3206.300607931871127
70,1,70,4,40,510522,22,84,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0093215,0.0000039,0.0002712,4,4,2334.942669772015961,158029.114002325659385,34.623834915974030,37.722608634705459
71,1,71,4,40,510522,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.2130734,0.0000898,,4,4,2334.942669772015961,158029.114002325659385,115.642006850384959,862.277391002078730
72,1,72,4,41,510523,22,83,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0431008,0.0000182,0.0012539,4,4,2334.942669772015961,158029.114002325659385,71.973032691353922,174.422610799877134
73,1,73,4,41,510523,22,111,MD027,6,GnB,793003,C,79,"Developed, Low Intensity",0.1792941,0.0000756,0.0059718,4,4,2334.942669772015961,158029.114002325659385,108.505675450736646,725.577388753088030
74,1,74,3,42,510524,22,146,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.5231105,0.0002206,0.0152180,3,5,1989.681620013967859,198287.644651192909805,303.056534711616791,2116.953116266940924
75,1,75,2,43,510700,52,5,MD027,6,BaA,792298,D,79,Shrub/Scrub,0.5804231,0.0002447,0.0193324,2,1,2184.823690626288681,218008.217427300143754,236.819255097837015,2348.888700399837035
76,1,76,2,43,510700,52,124,MD027,6,MaC,793433,B,60,Shrub/Scrub,0.0210250,0.0000089,0.0005319,2,1,2184.823690626288681,218008.217427300143754,65.901985412010546,85.085180310323963
77,1,77,2,43,510700,52,184,MD027,6,GhB,792997,B,60,Shrub/Scrub,0.6573415,0.0002771,0.0166286,2,1,2184.823690626288681,218008.217427300143754,260.345529821087496,2660.166743415887140
78,1,78,2,44,510701,43,5,MD027,6,BaA,792298,D,79,Mixed Forest,0.2190149,0.0000923,0.0072948,2,1,2184.823690626288681,218008.217427300143754,131.499308685339173,886.322052179132470
79,1,79,2,44,510701,43,184,MD027,6,GhB,792997,B,60,Mixed Forest,0.4481696,0.0001890,0.0113373,2,1,2184.823690626288681,218008.217427300143754,186.476254649958690,1813.677948882575265
80,1,80,5,45,510702,22,5,MD027,6,BaA,792298,D,84,"Developed, Low Intensity",0.0247204,0.0000104,0.0008755,5,3,1917.034390472651694,144369.510105487192050,47.041145848795139,100.039850252613107
81,1,81,5,45,510702,22,124,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0731264,0.0000308,0.0021273,5,3,1917.034390472651694,144369.510105487192050,79.529876426735512,295.932054793090629
82,1,82,5,45,510702,22,177,MD027,6,UaF,628165,,,"Developed, Low Intensity",0.1245481,0.0000525,,5,3,1917.034390472651694,144369.510105487192050,96.466469764897852,504.028095373391466
83,1,83,4,46,510703,41,84,MD027,6,MaC,793433,B,60,Deciduous Forest,0.6038120,0.0002546,0.0152745,4,4,2334.942669772015961,158029.114002325659385,244.246972653595378,2443.540494428942111
