OBJECTID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,Shape_Length,Shape_Area,CN,Land_Cover,Acres,Percent_Area,compositeCN
478,245,518210,21,59,MD027,6,MgD,793438,B,79.940724760125789,233.256133533783839,69,"Developed, Open Space",0.0576388,0.0000243,0.0016768
479,245,518210,21,169,MD027,6,GfC,792987,A,347.092403986936063,6188.252655115556081,49,"Developed, Open Space",1.5291505,0.0006447,0.0315908
480,246,518211,21,87,MD027,6,GfB,792986,A,120.000000005587935,900.000000083819032,49,"Developed, Open Space",0.2223948,0.0000938,0.0045945
481,247,518212,21,175,MD027,6,MgD,793438,B,119.999999996274710,899.999999944120646,69,"Developed, Open Space",0.2223948,0.0000938,0.0064698
482,248,518213,43,162,MD027,6,MgF,793439,B,324.111797899722433,4334.349255204869223,60,Mixed Forest,1.0710410,0.0004516,0.0270939
483,248,518213,43,173,MD027,6,GfC,792987,A,190.758123863851381,803.282745224451219,36,Mixed Forest,0.1984955,0.0000837,0.0030128
484,249,518395,21,40,MD027,6,LoB,793428,C,86.435656498984841,463.779846515502186,79,"Developed, Open Space",0.1146025,0.0000483,0.0038171
485,249,518395,21,195,MD027,6,LoC,793429,C,111.094610994548944,436.220153428618460,79,"Developed, Open Space",0.1077923,0.0000454,0.0035903
486,250,518396,41,40,MD027,6,LoB,793428,C,140.662815489542282,1088.125930396007561,73,Deciduous Forest,0.2688818,0.0001134,0.0082756
487,250,518396,41,98,MD027,6,LoB,793428,C,206.621183231953069,1946.864210969309624,73,Deciduous Forest,0.4810806,0.0002028,0.0148066
488,250,518396,41,194,MD027,6,LoC,793429,C,189.133960199059288,813.487307915763836,73,Deciduous Forest,0.2010171,0.0000848,0.0061869
489,250,518396,41,195,MD027,6,LoC,793429,C,446.019110357998102,5723.109839070455564,73,Deciduous Forest,1.4142113,0.0005963,0.0435263
490,250,518396,41,206,MD027,6,WcB,793659,D,442.931805317084127,6425.133776268145994,79,Deciduous Forest,1.5876851,0.0006694,0.0528818
491,251,518397,22,174,MD027,6,MgD,793438,B,112.521304064024804,576.562499972060323,69,"Developed, Low Intensity",0.1424717,0.0000601,0.0041447
492,252,518398,43,86,MD027,6,GfB,792986,A,126.273422735634824,751.559727135604362,36,Mixed Forest,0.1857145,0.0000783,0.0028188
493,252,518398,43,169,MD027,6,GfC,792987,A,231.276724160095512,3338.320643934338477,36,Mixed Forest,0.8249170,0.0003478,0.0125207
494,253,518399,22,103,MD027,6,MgF,793439,B,140.779719295138420,778.528671491625346,69,"Developed, Low Intensity",0.1923786,0.0000811,0.0055965
495,253,518399,22,161,MD027,6,MgF,793439,B,446.971204757515181,2869.071505622086534,69,"Developed, Low Intensity",0.7089630,0.0002989,0.0206247
496,253,518399,22,170,MD027,6,GfC,792987,A,714.246860839112401,8859.280085373698967,49,"Developed, Low Intensity",2.1891758,0.0009230,0.0452263
497,253,518399,22,175,MD027,6,MgD,793438,B,484.332476150239700,10891.315036350511946,69,"Developed, Low Intensity",2.6913025,0.0011347,0.0782936
498,253,518399,22,176,MD027,6,MgD,793438,B,379.304194010282686,5159.414705991544906,69,"Developed, Low Intensity",1.2749192,0.0005375,0.0370891
499,253,518399,22,180,MD027,6,UuB,816903,D,1669.300139401187607,26288.783898841353221,84,"Developed, Low Intensity",6.4960999,0.0027388,0.2300628
500,253,518399,22,182,MD027,6,GhB,792997,B,703.493896341139816,7386.395204665025631,69,"Developed, Low Intensity",1.8252180,0.0007695,0.0530980
501,253,518399,22,213,MD027,6,GuB,793005,C,125.912911469012201,1009.308586520866470,79,"Developed, Low Intensity",0.2494056,0.0001052,0.0083071
502,254,518400,21,42,MD027,6,GmC,793002,C,79.651957675515163,236.018377930541931,79,"Developed, Open Space",0.0583214,0.0000246,0.0019425
503,254,518400,21,61,MD027,6,MgD,793438,B,15.896021082251742,6.648011099323535,69,"Developed, Open Space",0.0016428,0.0000007,0.0000478
504,254,518400,21,162,MD027,6,MgF,793439,B,167.081081930516461,1557.333610858375778,69,"Developed, Open Space",0.3848255,0.0001622,0.0111951
505,255,518576,41,20,MD027,6,LrD,793430,C,49.809988877153998,108.537329593936420,73,Deciduous Forest,0.0268202,0.0000113,0.0008255
506,255,518576,41,41,MD027,6,LoB,793428,C,88.901922194032863,409.646969354649514,73,Deciduous Forest,0.1012260,0.0000427,0.0031155
507,255,518576,41,195,MD027,6,LoC,793429,C,48.469990565614275,97.694879132178940,73,Deciduous Forest,0.0241409,0.0000102,0.0007430
508,256,518577,24,195,MD027,6,LoC,793429,C,221.348311371941918,2303.306877280756908,,"Developed, High Intensity",0.5691595,0.0002400,
509,256,518577,24,206,MD027,6,WcB,793659,D,132.436549345929791,659.896791395830292,,"Developed, High Intensity",0.1630640,0.0000687,
510,257,518578,22,43,MD027,6,GmC,793002,C,30.689203698234810,39.939316225320262,79,"Developed, Low Intensity",0.0098692,0.0000042,0.0003287
511,257,518578,22,88,MD027,6,GfB,792986,A,2408.294841586436178,79177.268568414117908,49,"Developed, Low Intensity",19.5651283,0.0082489,0.4041971
512,257,518578,22,174,MD027,6,MgD,793438,B,278.119870557633192,1515.708285129750493,69,"Developed, Low Intensity",0.3745397,0.0001579,0.0108959
513,257,518578,22,176,MD027,6,MgD,793438,B,282.404967896446408,809.701197858193837,69,"Developed, Low Intensity",0.2000815,0.0000844,0.0058206
514,257,518578,22,209,MD027,6,UuB,816903,D,511.494458291327419,8031.299140718063427,84,"Developed, Low Intensity",1.9845772,0.0008367,0.0702848
515,257,518578,22,213,MD027,6,GuB,793005,C,20.981315152402985,6.738994287524384,79,"Developed, Low Intensity",0.0016652,0.0000007,0.0000555
516,258,518579,41,59,MD027,6,MgD,793438,B,120.553948315017408,699.449795636880253,60,Deciduous Forest,0.1728378,0.0000729,0.0043722
517,258,518579,41,169,MD027,6,GfC,792987,A,136.060741001897043,1100.550204474878456,36,Deciduous Forest,0.2719519,0.0001147,0.0041277
518,259,518771,41,43,MD027,6,GmC,793002,C,143.995569638102722,796.316817976634411,73,Deciduous Forest,0.1967742,0.0000830,0.0060563
519,259,518771,41,55,MD027,6,MgD,793438,B,31.937246597706924,30.439824347579549,60,Deciduous Forest,0.0075218,0.0000032,0.0001903
520,259,518771,41,148,MD027,6,GbB,792900,A,153.813601876087660,973.243357340509760,36,Deciduous Forest,0.2404937,0.0001014,0.0036502
521,260,518772,22,43,MD027,6,GmC,793002,C,117.771172993906148,887.239690838737943,79,"Developed, Low Intensity",0.2192417,0.0000924,0.0073024
522,260,518772,22,55,MD027,6,MgD,793438,B,81.220790073089105,292.992219856872907,69,"Developed, Low Intensity",0.0724000,0.0000305,0.0021062
523,260,518772,22,148,MD027,6,GbB,792900,A,72.967663992574757,167.313211417506750,49,"Developed, Low Intensity",0.0413440,0.0000174,0.0008541
524,260,518772,22,174,MD027,6,MgD,793438,B,92.072453086919069,452.454877998641052,69,"Developed, Low Intensity",0.1118040,0.0000471,0.0032525
525,261,518773,21,43,MD027,6,GmC,793002,C,130.472904645381789,639.979374240740754,79,"Developed, Open Space",0.1581423,0.0000667,0.0052673
526,261,518773,21,88,MD027,6,GfB,792986,A,463.750978725680056,9870.700202760268439,49,"Developed, Open Space",2.4391031,0.0010284,0.0503896
527,261,518773,21,174,MD027,6,MgD,793438,B,170.566042916201894,1532.312085053064720,69,"Developed, Open Space",0.3786426,0.0001596,0.0110152
528,262,518774,21,59,MD027,6,MgD,793438,B,125.407186686553388,952.487599987829299,69,"Developed, Open Space",0.2353648,0.0000992,0.0068471
529,262,518774,21,86,MD027,6,GfB,792986,A,223.333671905804493,1964.269904733806698,49,"Developed, Open Space",0.4853817,0.0002046,0.0100275
530,262,518774,21,169,MD027,6,GfC,792987,A,149.831954750480634,781.679995487037559,49,"Developed, Open Space",0.1931573,0.0000814,0.0039904
531,263,518775,41,42,MD027,6,GmC,793002,C,62.137725440717162,16.479253118467899,73,Deciduous Forest,0.0040721,0.0000017,0.0001253
532,263,518775,41,170,MD027,6,GfC,792987,A,43.319026208359055,61.001981095238875,36,Deciduous Forest,0.0150739,0.0000064,0.0002288
533,263,518775,41,175,MD027,6,MgD,793438,B,111.561595033166768,822.518765618655152,60,Deciduous Forest,0.2032488,0.0000857,0.0051415
534,264,518776,41,42,MD027,6,GmC,793002,C,272.891596600969251,2814.218849629532542,73,Deciduous Forest,0.6954086,0.0002932,0.0214031
535,264,518776,41,61,MD027,6,MgD,793438,B,338.962381367333933,2975.552545608859418,60,Deciduous Forest,0.7352750,0.0003100,0.0186001
536,264,518776,41,162,MD027,6,MgF,793439,B,347.620836869483014,2314.057548424647393,60,Deciduous Forest,0.5718161,0.0002411,0.0144651
537,264,518776,41,175,MD027,6,MgD,793438,B,223.474066426781349,1427.250158329029773,60,Deciduous Forest,0.3526812,0.0001487,0.0089217
538,265,518922,22,195,MD027,6,LoC,793429,C,6.380489752466103,1.721454102256135,79,"Developed, Low Intensity",0.0004254,0.0000002,0.0000142
539,265,518922,22,206,MD027,6,WcB,793659,D,109.957389220555172,574.621319405387794,84,"Developed, Low Intensity",0.1419920,0.0000599,0.0050287
540,266,518923,23,43,MD027,6,GmC,793002,C,193.801636207412542,1614.272005706650361,79,"Developed, Medium Intensity",0.3988953,0.0001682,0.0132862
541,266,518923,23,148,MD027,6,GbB,792900,A,651.928167173386669,8254.893937424540127,49,"Developed, Medium Intensity",2.0398288,0.0008600,0.0421409
542,266,518923,23,174,MD027,6,MgD,793438,B,417.835021808936233,4057.921532024113276,69,"Developed, Medium Intensity",1.0027343,0.0004228,0.0291709
543,266,518923,23,177,MD027,6,UaF,628165,,248.888546441181774,1586.006306156468099,,"Developed, Medium Intensity",0.3919107,0.0001652,
544,267,518924,23,148,MD027,6,GbB,792900,A,120.000000013038516,900.000000195577741,49,"Developed, Medium Intensity",0.2223948,0.0000938,0.0045945
545,268,518925,22,55,MD027,6,MgD,793438,B,103.651744145546900,335.012468594716552,69,"Developed, Low Intensity",0.0827834,0.0000349,0.0024083
546,268,518925,22,148,MD027,6,GbB,792900,A,100.913405220602499,564.987531544981834,49,"Developed, Low Intensity",0.1396115,0.0000589,0.0028842
547,269,518926,21,87,MD027,6,GfB,792986,A,113.157511520465533,615.879178039697308,49,"Developed, Open Space",0.1521871,0.0000642,0.0031440
548,270,519119,41,20,MD027,6,LrD,793430,C,300.128760785427858,5508.384752274903803,73,Deciduous Forest,1.3611515,0.0005739,0.0418932
549,270,519119,41,41,MD027,6,LoB,793428,C,111.924303899766386,222.827103089991652,73,Deciduous Forest,0.0550618,0.0000232,0.0016947
550,270,519119,41,206,MD027,6,WcB,793659,D,196.363376731256665,624.301931624104895,79,Deciduous Forest,0.1542684,0.0000650,0.0051383
551,271,519120,41,206,MD027,6,WcB,793659,D,119.999999994412065,899.999999916180968,79,Deciduous Forest,0.2223948,0.0000938,0.0074074
552,272,519121,23,40,MD027,6,LoB,793428,C,312.253248881286197,3071.283812091359323,79,"Developed, Medium Intensity",0.7589307,0.0003200,0.0252781
553,272,519121,23,195,MD027,6,LoC,793429,C,954.952189352563664,20163.943424594752287,79,"Developed, Medium Intensity",4.9826188,0.0021007,0.1659584
554,272,519121,23,206,MD027,6,WcB,793659,D,671.303716435509386,12605.324020361691510,84,"Developed, Medium Intensity",3.1148434,0.0013133,0.1103138
555,273,519122,41,193,MD027,6,LoC,793429,C,112.521304067621202,576.562499970314093,73,Deciduous Forest,0.1424717,0.0000601,0.0043850
556,274,519123,22,211,MD027,6,GuB,793005,C,119.999999998137355,899.999999972060323,79,"Developed, Low Intensity",0.2223948,0.0000938,0.0074074
557,275,519124,41,59,MD027,6,MgD,793438,B,149.682119690118100,394.676727999611899,60,Deciduous Forest,0.0975267,0.0000411,0.0024671
558,275,519124,41,211,MD027,6,GuB,793005,C,145.718295404940676,900.940947401169751,73,Deciduous Forest,0.2226274,0.0000939,0.0068520
559,276,519125,41,59,MD027,6,MgD,793438,B,680.332483605676430,12843.832246657109863,60,Deciduous Forest,3.1737800,0.0013381,0.0802865
560,276,519125,41,87,MD027,6,GfB,792986,A,502.513689083041641,3896.739712595367109,36,Deciduous Forest,0.9629053,0.0004060,0.0146151
561,276,519125,41,128,MD027,6,MgD,793438,B,16.082523471329601,8.324629545584806,60,Deciduous Forest,0.0020571,0.0000009,0.0000520
562,276,519125,41,159,MD027,6,MgF,793439,B,57.067997082506196,157.969316832371817,60,Deciduous Forest,0.0390351,0.0000165,0.0009875
563,276,519125,41,161,MD027,6,MgF,793439,B,605.179331596364136,10213.741400913751932,60,Deciduous Forest,2.5238705,0.0010641,0.0638459
564,276,519125,41,169,MD027,6,GfC,792987,A,477.693886993082288,6212.956001754168938,36,Deciduous Forest,1.5352548,0.0006473,0.0233022
565,276,519125,41,180,MD027,6,UuB,816903,D,161.169684936923119,784.450252656304201,79,Deciduous Forest,0.1938419,0.0000817,0.0064564
566,277,519126,21,162,MD027,6,MgF,793439,B,246.493118259152197,2329.077465058696816,69,"Developed, Open Space",0.5755275,0.0002427,0.0167429
567,277,519126,21,173,MD027,6,GfC,792987,A,442.932031808449722,5076.333261309325280,49,"Developed, Open Space",1.2543893,0.0005289,0.0259145
568,278,519291,41,41,MD027,6,LoB,793428,C,113.157511521544563,615.879178049854090,73,Deciduous Forest,0.1521871,0.0000642,0.0046840
569,279,519292,42,11,MD027,6,LmB,793427,C,51.039255798679676,59.631320094772740,73,Evergreen Forest,0.0147352,0.0000062,0.0004535
570,279,519292,42,18,MD027,6,LrD,793430,C,106.515538597417617,629.358946398209014,73,Evergreen Forest,0.1555180,0.0000656,0.0047865
571,279,519292,42,193,MD027,6,LoC,793429,C,280.615542112332434,3892.088834950527598,73,Evergreen Forest,0.9617561,0.0004055,0.0296007
572,280,519293,22,57,MD027,6,MgD,793438,B,119.470280834738773,426.564378219217815,69,"Developed, Low Intensity",0.1054064,0.0000444,0.0030664
573,280,519293,22,206,MD027,6,WcB,793659,D,109.188428274450715,619.443922458802263,84,"Developed, Low Intensity",0.1530679,0.0000645,0.0054210
574,281,519294,22,43,MD027,6,GmC,793002,C,12.978983235396869,8.085751723985217,79,"Developed, Low Intensity",0.0019980,0.0000008,0.0000665
575,281,519294,22,75,MD027,6,GfC,792987,A,145.232987161745598,543.640188475541549,49,"Developed, Low Intensity",0.1343364,0.0000566,0.0027753
576,281,519294,22,88,MD027,6,GfB,792986,A,693.102153328428585,13938.953792834134219,49,"Developed, Low Intensity",3.4443905,0.0014522,0.0711579
577,281,519294,22,160,MD027,6,MgF,793439,B,12.620582491841541,5.772210968495942,69,"Developed, Low Intensity",0.0014263,0.0000006,0.0000415
578,281,519294,22,174,MD027,6,MgD,793438,B,209.829206533180098,1912.645131143537128,69,"Developed, Low Intensity",0.4726249,0.0001993,0.0137493
579,282,519295,21,59,MD027,6,MgD,793438,B,74.931067133940104,235.426444937283748,69,"Developed, Open Space",0.0581751,0.0000245,0.0016924
580,282,519295,21,211,MD027,6,GuB,793005,C,285.715800570941838,3364.573555062715968,79,"Developed, Open Space",0.8314042,0.0003505,0.0276920
581,283,519296,41,159,MD027,6,MgF,793439,B,108.058699339634984,439.117900628852681,60,Deciduous Forest,0.1085084,0.0000457,0.0027449
582,283,519296,41,170,MD027,6,GfC,792987,A,109.891943022378996,507.646779462346501,36,Deciduous Forest,0.1254423,0.0000529,0.0019040
583,283,519296,41,212,MD027,6,GuB,793005,C,202.673714619904558,2354.061726467535664,73,Deciduous Forest,0.5817013,0.0002453,0.0179035
584,284,519297,21,42,MD027,6,GmC,793002,C,138.061317657350941,778.839479677384361,79,"Developed, Open Space",0.1924554,0.0000811,0.0064102
585,284,519297,21,61,MD027,6,MgD,793438,B,345.141669456516354,5241.344266842215802,69,"Developed, Open Space",1.2951643,0.0005461,0.0376781
586,284,519297,21,162,MD027,6,MgF,793439,B,757.213823267077146,12683.917080869534402,69,"Developed, Open Space",3.1342642,0.0013214,0.0911799
587,284,519297,21,170,MD027,6,GfC,792987,A,120.006986154918252,738.834475668218943,49,"Developed, Open Space",0.1825700,0.0000770,0.0037717
588,284,519297,21,173,MD027,6,GfC,792987,A,62.973129023721995,94.614214132808542,49,"Developed, Open Space",0.0233797,0.0000099,0.0004830
589,284,519297,21,175,MD027,6,MgD,793438,B,46.650423022651061,99.467240977506705,69,"Developed, Open Space",0.0245789,0.0000104,0.0007150
590,284,519297,21,212,MD027,6,GuB,793005,C,225.281987922115860,1177.927485674004402,79,"Developed, Open Space",0.2910722,0.0001227,0.0096949
591,285,519477,21,55,MD027,6,MgD,793438,B,118.917972535704408,896.366049916702082,69,"Developed, Open Space",0.2214969,0.0000934,0.0064436
592,285,519477,21,177,MD027,6,UaF,628165,,13.433855331380999,3.633950111237624,,"Developed, Open Space",0.0008980,0.0000004,
593,286,519478,22,43,MD027,6,GmC,793002,C,259.956099514141329,2687.195406625180567,79,"Developed, Low Intensity",0.6640204,0.0002800,0.0221168
594,286,519478,22,55,MD027,6,MgD,793438,B,168.418403677222074,645.583550881228462,69,"Developed, Low Intensity",0.1595272,0.0000673,0.0046409
595,286,519478,22,57,MD027,6,MgD,793438,B,354.036667904411047,1124.354023647043959,69,"Developed, Low Intensity",0.2778339,0.0001171,0.0080826
596,286,519478,22,148,MD027,6,GbB,792900,A,868.077647349302083,17981.048536445974605,49,"Developed, Low Intensity",4.4432139,0.0018733,0.0917926
597,286,519478,22,174,MD027,6,MgD,793438,B,480.931613576847440,4164.028810207930292,69,"Developed, Low Intensity",1.0289539,0.0004338,0.0299336
598,286,519478,22,177,MD027,6,UaF,628165,,1172.199946989784394,32870.377101958234562,,"Developed, Low Intensity",8.1224470,0.0034245,
599,286,519478,22,209,MD027,6,UuB,816903,D,255.842407184353675,3728.722979159905663,84,"Developed, Low Intensity",0.9213875,0.0003885,0.0326314
600,287,519479,41,8,MD027,6,Co,792809,C,46.465009378883295,71.468512243464787,73,Deciduous Forest,0.0176603,0.0000074,0.0005435
601,287,519479,41,59,MD027,6,MgD,793438,B,168.287551372280404,1614.068539913909717,60,Deciduous Forest,0.3988450,0.0001682,0.0100895
602,287,519479,41,211,MD027,6,GuB,793005,C,138.891712273231917,1014.462947870565245,73,Deciduous Forest,0.2506793,0.0001057,0.0077154
603,288,519480,23,162,MD027,6,MgF,793439,B,23.408750531545248,12.736788803192628,69,"Developed, Medium Intensity",0.0031473,0.0000013,0.0000916
604,288,519480,23,170,MD027,6,GfC,792987,A,53.859557050674532,123.585345804947536,49,"Developed, Medium Intensity",0.0305386,0.0000129,0.0006309
605,288,519480,23,212,MD027,6,GuB,793005,C,261.576465971779612,4178.668099722078296,79,"Developed, Medium Intensity",1.0325713,0.0004353,0.0343923
606,289,519651,43,41,MD027,6,LoB,793428,C,213.129080223576551,864.617499551767537,73,Mixed Forest,0.2136516,0.0000901,0.0065757
607,290,519652,21,19,MD027,6,LrD,793430,C,112.494012435958126,576.342773373776254,79,"Developed, Open Space",0.1424174,0.0000600,0.0047436
608,291,519653,22,8,MD027,6,Co,792809,C,81.287184476076973,216.685547782978801,79,"Developed, Low Intensity",0.0535442,0.0000226,0.0017834
609,291,519653,22,55,MD027,6,MgD,793438,B,107.324054311185492,683.314452244960876,69,"Developed, Low Intensity",0.1688507,0.0000712,0.0049121
610,292,519654,21,55,MD027,6,MgD,793438,B,112.643638388323978,791.661796917489028,69,"Developed, Open Space",0.1956239,0.0000825,0.0056910
611,292,519654,21,148,MD027,6,GbB,792900,A,46.573754851776556,108.338203026631618,49,"Developed, Open Space",0.0267710,0.0000113,0.0005531
612,293,519655,23,55,MD027,6,MgD,793438,B,197.853553404286174,1080.698835143612541,69,"Developed, Medium Intensity",0.2670465,0.0001126,0.0077687
613,293,519655,23,148,MD027,6,GbB,792900,A,333.227131070478436,3862.269914558546134,49,"Developed, Medium Intensity",0.9543877,0.0004024,0.0197168
614,294,519656,22,55,MD027,6,MgD,793438,B,307.745275816757839,3001.543496330632479,69,"Developed, Low Intensity",0.7416975,0.0003127,0.0215770
615,294,519656,22,148,MD027,6,GbB,792900,A,245.492194348030068,1790.253378780673529,49,"Developed, Low Intensity",0.4423812,0.0001865,0.0091392
616,295,519657,41,8,MD027,6,Co,792809,C,405.544463290774388,4436.700981177958056,73,Deciduous Forest,1.0963327,0.0004622,0.0337427
617,295,519657,41,43,MD027,6,GmC,793002,C,1183.763003583955879,17323.097031989429524,73,Deciduous Forest,4.2806306,0.0018048,0.1317483
618,295,519657,41,55,MD027,6,MgD,793438,B,300.201909032461288,2952.456719351972879,60,Deciduous Forest,0.7295679,0.0003076,0.0184557
619,295,519657,41,88,MD027,6,GfB,792986,A,794.103543443339049,7237.907315458192897,36,Deciduous Forest,1.7885258,0.0007541,0.0271464
620,295,519657,41,148,MD027,6,GbB,792900,A,1.937618545318210,0.113745263787282,36,Deciduous Forest,0.0000281,0.0000000,0.0000004
621,295,519657,41,174,MD027,6,MgD,793438,B,1933.137018011057535,21335.226302983868663,60,Deciduous Forest,5.2720494,0.0022228,0.1333660
622,295,519657,41,209,MD027,6,UuB,816903,D,98.846358792273747,239.485231576367710,79,Deciduous Forest,0.0591781,0.0000250,0.0019711
623,296,519658,21,8,MD027,6,Co,792809,C,354.913332389479137,2467.484255909128024,79,"Developed, Open Space",0.6097286,0.0002571,0.0203085
624,296,519658,21,59,MD027,6,MgD,793438,B,750.558295568586914,11837.215073492341617,69,"Developed, Open Space",2.9250395,0.0012332,0.0850933
625,296,519658,21,87,MD027,6,GfB,792986,A,302.143110054143335,3110.215910783987965,49,"Developed, Open Space",0.7685511,0.0003240,0.0158775
626,296,519658,21,159,MD027,6,MgF,793439,B,428.162590625820599,2972.653253023786874,69,"Developed, Open Space",0.7345586,0.0003097,0.0213693
627,296,519658,21,169,MD027,6,GfC,792987,A,69.478009321056518,193.155249803570342,49,"Developed, Open Space",0.0477297,0.0000201,0.0009861
628,296,519658,21,211,MD027,6,GuB,793005,C,187.240601967120313,2302.178223426719796,79,"Developed, Open Space",0.5688806,0.0002398,0.0189480
629,297,519659,21,162,MD027,6,MgF,793439,B,269.990418877771958,4089.880371248898427,69,"Developed, Open Space",1.0106314,0.0004261,0.0294006
630,298,519834,21,41,MD027,6,LoB,793428,C,128.760780177098098,437.303243337624110,79,"Developed, Open Space",0.1080600,0.0000456,0.0035992
631,299,519835,21,193,MD027,6,LoC,793429,C,120.000000000000000,900.000000000000000,79,"Developed, Open Space",0.2223948,0.0000938,0.0074074
632,300,519836,21,19,MD027,6,LrD,793430,C,113.157511526208992,615.879178100951776,79,"Developed, Open Space",0.1521871,0.0000642,0.0050690
633,301,519837,22,8,MD027,6,Co,792809,C,91.106420131331433,380.745335907747460,79,"Developed, Low Intensity",0.0940842,0.0000397,0.0031337
634,301,519837,22,55,MD027,6,MgD,793438,B,96.722890326684450,519.254664092252597,69,"Developed, Low Intensity",0.1283106,0.0000541,0.0037327
635,302,519838,41,8,MD027,6,Co,792809,C,72.134419877605467,219.824176167881291,73,Deciduous Forest,0.0543197,0.0000229,0.0016718
636,302,519838,41,93,MD027,6,MgF,793439,B,144.870651337045558,1035.913128652613068,60,Deciduous Forest,0.2559797,0.0001079,0.0064755
637,303,519839,21,8,MD027,6,Co,792809,C,882.422637627847052,16067.641228498794590,79,"Developed, Open Space",3.9704006,0.0016740,0.1322440
638,303,519839,21,55,MD027,6,MgD,793438,B,497.761936022839791,4046.450571304416826,69,"Developed, Open Space",0.9998997,0.0004216,0.0290884
639,303,519839,21,75,MD027,6,GfC,792987,A,537.199006975544989,7980.840749203858650,49,"Developed, Open Space",1.9721087,0.0008315,0.0407419
640,303,519839,21,86,MD027,6,GfB,792986,A,563.486796148161716,6979.599091655961274,49,"Developed, Open Space",1.7246965,0.0007272,0.0356306
641,303,519839,21,88,MD027,6,GfB,792986,A,2514.185265781180078,32092.686734361577692,49,"Developed, Open Space",7.9302754,0.0033435,0.1638320
642,303,519839,21,93,MD027,6,MgF,793439,B,277.075860603127865,1419.808599523424164,69,"Developed, Open Space",0.3508424,0.0001479,0.0102065
643,303,519839,21,103,MD027,6,MgF,793439,B,268.341576144754526,2698.401993298115940,69,"Developed, Open Space",0.6667897,0.0002811,0.0193978
644,303,519839,21,128,MD027,6,MgD,793438,B,1068.843278146180637,17652.654477166164725,69,"Developed, Open Space",4.3620658,0.0018391,0.1268983
645,303,519839,21,148,MD027,6,GbB,792900,A,95.497596032962434,546.985828383694525,49,"Developed, Open Space",0.1351631,0.0000570,0.0027923
646,303,519839,21,160,MD027,6,MgF,793439,B,793.799569259155533,9118.979400913796781,69,"Developed, Open Space",2.2533488,0.0009500,0.0655529
647,303,519839,21,161,MD027,6,MgF,793439,B,59.257669484214105,120.898026943899978,69,"Developed, Open Space",0.0298746,0.0000126,0.0008691
648,303,519839,21,169,MD027,6,GfC,792987,A,1384.096095213016042,27103.792897069935862,49,"Developed, Open Space",6.6974931,0.0028238,0.1383639
649,303,519839,21,174,MD027,6,MgD,793438,B,276.668678461470904,3924.980311942529170,69,"Developed, Open Space",0.9698837,0.0004089,0.0282152
650,303,519839,21,176,MD027,6,MgD,793438,B,1940.897633685221763,27905.037552788100584,69,"Developed, Open Space",6.8954849,0.0029072,0.2005988
651,303,519839,21,180,MD027,6,UuB,816903,D,320.405859702338546,1251.273226238663938,84,"Developed, Open Space",0.3091964,0.0001304,0.0109504
652,303,519839,21,182,MD027,6,GhB,792997,B,338.654904089108641,3119.372371061896956,69,"Developed, Open Space",0.7708137,0.0003250,0.0224240
653,303,519839,21,209,MD027,6,UuB,816903,D,201.254054051686524,2110.028722122298404,84,"Developed, Open Space",0.5213994,0.0002198,0.0184656
654,303,519839,21,213,MD027,6,GuB,793005,C,2261.882753528431749,39521.082476660652901,79,"Developed, Open Space",9.7658720,0.0041174,0.3252764
655,304,519840,21,56,MD027,6,MgD,793438,B,53.748861841600927,93.182316219238800,69,"Developed, Open Space",0.0230259,0.0000097,0.0006699
656,304,519840,21,86,MD027,6,GfB,792986,A,356.732188287577287,5688.899430797188870,49,"Developed, Open Space",1.4057577,0.0005927,0.0290416
657,305,519841,22,56,MD027,6,MgD,793438,B,115.617734395377326,717.645384455389831,69,"Developed, Low Intensity",0.1773340,0.0000748,0.0051589
658,305,519841,22,86,MD027,6,GfB,792986,A,161.516932579167189,1082.354615768127587,49,"Developed, Low Intensity",0.2674556,0.0001128,0.0055254
659,306,519842,23,8,MD027,6,Co,792809,C,296.757288650751775,4314.385585900992737,79,"Developed, Medium Intensity",1.0661079,0.0004495,0.0355093
660,306,519842,23,159,MD027,6,MgF,793439,B,4.256637127201691,0.604648630546923,69,"Developed, Medium Intensity",0.0001494,0.0000001,0.0000043
661,307,519843,22,8,MD027,6,Co,792809,C,218.948156268217986,1464.764294316652467,79,"Developed, Low Intensity",0.3619511,0.0001526,0.0120557
662,307,519843,22,159,MD027,6,MgF,793439,B,83.996165479415481,335.235705795106242,69,"Developed, Low Intensity",0.0828386,0.0000349,0.0024099
663,308,519844,41,8,MD027,6,Co,792809,C,169.639997869352442,1561.042697036434674,73,Deciduous Forest,0.3857420,0.0001626,0.0118723
664,308,519844,41,87,MD027,6,GfB,792986,A,7.091867064559215,0.930187033549600,36,Deciduous Forest,0.0002299,0.0000001,0.0000035
665,308,519844,41,159,MD027,6,MgF,793439,B,217.221328280361973,1728.652116349193648,60,Deciduous Forest,0.4271592,0.0001801,0.0108058
666,309,519845,22,87,MD027,6,GfB,792986,A,926.411544749612403,29654.682296473991300,49,"Developed, Low Intensity",7.3278317,0.0030895,0.1513861
667,309,519845,22,159,MD027,6,MgF,793439,B,512.427139102427645,2965.383150669495080,69,"Developed, Low Intensity",0.7327622,0.0003089,0.0213170
