OBJECTID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,Shape_Length,Shape_Area,CN,Land_Cover,Acres,Percent_Area,compositeCN
1373,565,526862,21,121,MD027,6,GbC,792901,A,363.367360498466610,2945.918804302527406,49,"Developed, Open Space",0.7279524,0.0003069,0.0150388
1374,565,526862,21,122,MD027,6,GbC,792901,A,153.636020098883250,1063.602985746225841,49,"Developed, Open Space",0.2628220,0.0001108,0.0054297
1375,565,526862,21,166,MD027,6,MgD,793438,B,628.490905791355203,5530.617839968150292,69,"Developed, Open Space",1.3666455,0.0005762,0.0397575
1376,565,526862,21,190,MD027,6,LoC,793429,C,1018.306901232623431,20856.319069631972525,79,"Developed, Open Space",5.1537085,0.0021729,0.1716569
1377,566,526863,21,25,MD027,6,LrD,793430,C,49.439305258369970,79.184441354375451,79,"Developed, Open Space",0.0195669,0.0000082,0.0006517
1378,566,526863,21,72,MD027,6,GfC,792987,A,547.805118806729865,9702.138472542334057,49,"Developed, Open Space",2.3974507,0.0010108,0.0495291
1379,566,526863,21,110,MD027,6,LeB,793012,C,266.583884714293504,2948.461405329092486,79,"Developed, Open Space",0.7285807,0.0003072,0.0242672
1380,566,526863,21,190,MD027,6,LoC,793429,C,375.008016804325678,5051.329615457249020,79,"Developed, Open Space",1.2482108,0.0005263,0.0415747
1381,567,526864,43,25,MD027,6,LrD,793430,C,89.083091604309232,390.298237190160137,73,Mixed Forest,0.0964448,0.0000407,0.0029684
1382,567,526864,43,163,MD027,6,GoB,793004,C,139.673881513237632,865.658794079006384,73,Mixed Forest,0.2139089,0.0000902,0.0065836
1383,568,526865,41,30,MD027,6,LrF,793431,C,362.403194882855587,3508.524138248361851,73,Deciduous Forest,0.8669752,0.0003655,0.0266836
1384,568,526865,41,39,MD027,6,LoB,793428,C,86.207010084388870,220.004980872068472,73,Deciduous Forest,0.0543644,0.0000229,0.0016732
1385,568,526865,41,163,MD027,6,GoB,793004,C,186.573677794399401,1671.470881410423544,73,Deciduous Forest,0.4130295,0.0001741,0.0127121
1386,569,526866,21,39,MD027,6,LoB,793428,C,292.480217422434293,3516.316170509815947,79,"Developed, Open Space",0.8689007,0.0003663,0.0289409
1387,569,526866,21,152,MD027,6,MgF,793439,B,48.358496501186089,83.683829546063393,69,"Developed, Open Space",0.0206787,0.0000087,0.0006016
1388,570,527059,22,100,MD027,6,LoC,793429,C,93.283141242469071,385.649561014205517,79,"Developed, Low Intensity",0.0952961,0.0000402,0.0031741
1389,570,527059,22,177,MD027,6,UaF,628165,,70.145930044524022,190.912938991207966,,"Developed, Low Intensity",0.0471756,0.0000199,
1390,571,527060,41,80,MD027,6,LoB,793428,C,134.070704073583499,1028.982302601344600,73,Deciduous Forest,0.2542671,0.0001072,0.0078258
1391,571,527060,41,101,MD027,6,LoC,793429,C,282.214968250071422,4371.017697594233141,73,Deciduous Forest,1.0801020,0.0004554,0.0332431
1392,572,527061,21,80,MD027,6,LoB,793428,C,278.567246694251253,1923.958500675795904,79,"Developed, Open Space",0.4754205,0.0002004,0.0158351
1393,572,527061,21,101,MD027,6,LoC,793429,C,248.493916022603031,3321.353999412908252,79,"Developed, Open Space",0.8207244,0.0003460,0.0273362
